id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
38001;ES-TF;ES-CN;Adeje;2021-03-13;476;1158;0.59;45311.56;154947.40;0.71
38002;ES-TF;ES-CN;Agulo;2021-03-13;12;29;0.59;6157.29;7658.25;0.20
38003;ES-TF;ES-CN;Alajeró;2021-03-13;107;135;0.21;11599.87;15923.67;0.27
38004;ES-TF;ES-CN;Arafo;2021-03-13;55;210;0.74;5496.61;28352.36;0.81
38005;ES-TF;ES-CN;Arico;2021-03-13;133;435;0.69;15216.26;59490.88;0.74
38006;ES-TF;ES-CN;Arona;2021-03-13;504;1671;0.70;55659.88;224791.08;0.75
38007;ES-TF;ES-CN;Barlovento;2021-03-13;35;54;0.35;8725.81;12738.38;0.31
38008;ES-TF;ES-CN;Breña Alta;2021-03-13;125;264;0.53;17389.15;43971.80;0.60
38009;ES-TF;ES-CN;Breña Baja;2021-03-13;55;156;0.65;8073.49;30721.89;0.74
38010;ES-TF;ES-CN;Buenavista del Norte;2021-03-13;97;220;0.56;8091.67;25212.66;0.68
38011;ES-TF;ES-CN;Candelaria;2021-03-13;156;522;0.70;18402.01;72386.71;0.75
38012;ES-TF;ES-CN;Fasnia;2021-03-13;30;98;0.69;3764.36;18692.72;0.80
38013;ES-TF;ES-CN;Frontera;2021-03-13;25;148;0.83;1740.28;20637.41;0.92
38014;ES-TF;ES-CN;Fuencaliente de la Palma;2021-03-13;86;143;0.40;8476.42;17658.43;0.52
38015;ES-TF;ES-CN;Garachico;2021-03-13;58;204;0.72;7130.15;24226.44;0.71
38016;ES-TF;ES-CN;Garafía;2021-03-13;35;57;0.39;12458.78;14365.70;0.13
38017;ES-TF;ES-CN;Granadilla de Abona;2021-03-13;325;1067;0.70;41064.48;159916.24;0.74
38018;ES-TF;ES-CN;La Guancha;2021-03-13;66;193;0.66;6307.23;24528.86;0.74
38019;ES-TF;ES-CN;Guía de Isora;2021-03-13;82;474;0.83;10014.48;63172.83;0.84
38020;ES-TF;ES-CN;Güímar;2021-03-13;143;447;0.68;13644.27;62002.98;0.78
38021;ES-TF;ES-CN;Hermigua;2021-03-13;25;29;0.14;6423.52;7030.30;0.09
38022;ES-TF;ES-CN;Icod de los Vinos;2021-03-13;408;704;0.42;56239.29;104941.85;0.46
38024;ES-TF;ES-CN;Los Llanos de Aridane;2021-03-13;140;429;0.67;17849.98;70839.52;0.75
38025;ES-TF;ES-CN;La Matanza de Acentejo;2021-03-13;65;144;0.55;7000.94;27543.94;0.75
38026;ES-TF;ES-CN;La Orotava;2021-03-13;489;1018;0.52;59853.51;153565.40;0.61
38027;ES-TF;ES-CN;El Paso;2021-03-13;93;217;0.57;13942.11;52476.63;0.73
38028;ES-TF;ES-CN;Puerto de la Cruz;2021-03-13;112;678;0.83;7483.62;73610.33;0.90
38029;ES-TF;ES-CN;Puntagorda;2021-03-13;24;83;0.71;6278.28;25215.43;0.75
38030;ES-TF;ES-CN;Puntallana;2021-03-13;58;86;0.33;8006.36;12974.88;0.38
38031;ES-TF;ES-CN;Los Realejos;2021-03-13;198;675;0.71;27746.68;100256.43;0.72
38032;ES-TF;ES-CN;El Rosario;2021-03-13;52;329;0.84;5534.20;58821.64;0.91
38033;ES-TF;ES-CN;San Andrés y Sauces;2021-03-13;31;84;0.63;6975.79;17940.57;0.61
38034;ES-TF;ES-CN;San Juan de la Rambla;2021-03-13;50;149;0.66;7440.92;22131.02;0.66
38035;ES-TF;ES-CN;San Miguel de Abona;2021-03-13;237;484;0.51;36890.58;91975.86;0.60
38036;ES-TF;ES-CN;San Sebastián de la Gomera;2021-03-13;120;206;0.42;19421.01;32349.51;0.40
38037;ES-TF;ES-CN;Santa Cruz de la Palma;2021-03-13;78;287;0.73;6076.81;27085.96;0.78
38038;ES-TF;ES-CN;Santa Cruz de Tenerife;2021-03-13;472;3008;0.84;29966.11;369492.01;0.92
38039;ES-TF;ES-CN;Santa Úrsula;2021-03-13;61;462;0.87;3950.75;57679.94;0.93
38040;ES-TF;ES-CN;Santiago del Teide;2021-03-13;57;270;0.79;3509.19;31942.50;0.89
38041;ES-TF;ES-CN;El Sauzal;2021-03-13;54;199;0.73;7056.41;38756.89;0.82
38042;ES-TF;ES-CN;Los Silos;2021-03-13;16;195;0.92;594.29;21202.94;0.97
38043;ES-TF;ES-CN;Tacoronte;2021-03-13;155;440;0.65;17853.27;92594.34;0.81
38044;ES-TF;ES-CN;El Tanque;2021-03-13;51;126;0.60;4859.28;17500.76;0.72
38045;ES-TF;ES-CN;Tazacorte;2021-03-13;42;106;0.60;3293.77;9551.12;0.66
38046;ES-TF;ES-CN;Tegueste;2021-03-13;63;278;0.77;4803.85;43188.33;0.89
38047;ES-TF;ES-CN;Tijarafe;2021-03-13;54;89;0.39;14282.71;26288.74;0.46
38048;ES-TF;ES-CN;Valverde;2021-03-13;83;288;0.71;10269.77;43061.69;0.76
38049;ES-TF;ES-CN;Valle Gran Rey;2021-03-13;25;135;0.81;2695.59;18606.99;0.86
38050;ES-TF;ES-CN;Vallehermoso;2021-03-13;75;88;0.15;15168.08;19597.66;0.23
38051;ES-TF;ES-CN;La Victoria de Acentejo;2021-03-13;18;101;0.82;1656.34;25075.66;0.93
38052;ES-TF;ES-CN;Vilaflor;2021-03-13;34;77;0.56;3307.34;8898.74;0.63
38053;ES-TF;ES-CN;Villa de Mazo;2021-03-13;121;152;0.20;24501.41;31516.90;0.22
38901;ES-TF;ES-CN;El Pinar de El Hierro;2021-03-13;22;97;0.77;7492.57;18473.44;0.59
