id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
07001,Alaró,2021-02-13,7,106,0.93,16566.14,894.61,0.95
07002,Alaior,2021-02-13,43,396,0.89,51051.25,2167.66,0.96
07003,Alcúdia,2021-02-13,133,686,0.81,105278.61,16458.83,0.84
07004,Algaida,2021-02-13,30,126,0.76,18934.31,2543.05,0.87
07005,Andratx,2021-02-13,82,480,0.83,88281.56,7252.73,0.92
07006,Artà,2021-02-13,40,314,0.87,49103.86,3565.16,0.93
07007,Banyalbufar,2021-02-13,0,44,1.00,5688.59,0.00,1.00
07008,Binissalem,2021-02-13,13,141,0.91,22948.54,1098.23,0.95
07009,Búger,2021-02-13,4,50,0.92,4968.56,216.69,0.96
07010,Bunyola,2021-02-13,23,162,0.86,40786.47,2742.53,0.93
07011,Calvià,2021-02-13,295,1365,0.78,289345.20,19164.76,0.93
07012,Campanet,2021-02-13,13,54,0.76,9615.30,1640.55,0.83
07013,Campos,2021-02-13,50,294,0.83,69789.50,6626.57,0.91
07014,Capdepera,2021-02-13,74,525,0.86,102291.13,8191.18,0.92
07015,Ciutadella,2021-02-13,112,872,0.87,137156.45,17575.52,0.87
07016,Consell,2021-02-13,19,76,0.75,10856.23,1307.80,0.88
07017,Costitx,2021-02-13,13,54,0.76,5200.30,1456.34,0.72
07018,Deià,2021-02-13,8,39,0.79,6199.81,1036.68,0.83
07019,Escorca,2021-02-13,18,23,0.22,5850.59,3968.75,0.32
07020,Esporles,2021-02-13,34,159,0.79,36244.04,8352.51,0.77
07021,Estellencs,2021-02-13,23,37,0.38,4890.75,2513.44,0.49
07022,Felanitx,2021-02-13,125,510,0.75,92381.01,20231.76,0.78
07023,Ferreries,2021-02-13,25,155,0.84,17171.83,4225.99,0.75
07024,Formentera,2021-02-13,108,198,0.45,53668.32,32562.39,0.39
07025,Fornalutx,2021-02-13,7,30,0.77,2165.07,405.53,0.81
07026,Eivissa,2021-02-13,167,535,0.69,78923.33,16230.15,0.79
07027,Inca,2021-02-13,91,476,0.81,65411.93,6715.54,0.90
07028,Lloret de Vistalegre,2021-02-13,3,33,0.91,4344.98,611.96,0.86
07029,Lloseta,2021-02-13,24,109,0.78,14933.17,2086.80,0.86
07030,Llubí,2021-02-13,17,61,0.72,14326.52,5794.36,0.60
07031,Llucmajor,2021-02-13,145,734,0.80,161114.02,12805.93,0.92
07032,Maó,2021-02-13,90,670,0.87,96746.58,15911.65,0.84
07033,Manacor,2021-02-13,197,1070,0.82,204180.49,32509.06,0.84
07034,Mancor de la Vall,2021-02-13,9,46,0.80,6069.45,698.07,0.88
07035,Maria de la Salut,2021-02-13,16,85,0.81,13270.52,1485.92,0.89
07036,Marratxí,2021-02-13,265,925,0.71,195365.95,26714.64,0.86
07037,es Mercadal,2021-02-13,76,362,0.79,63727.65,8014.21,0.87
07038,Montuïri,2021-02-13,33,92,0.64,12040.62,3723.05,0.69
07039,Muro,2021-02-13,43,299,0.86,41174.43,3161.63,0.92
07040,Palma,2021-02-13,677,4041,0.83,712632.39,70355.09,0.90
07041,Petra,2021-02-13,16,113,0.86,17166.87,2538.28,0.85
07042,Pollença,2021-02-13,141,534,0.74,86133.76,18140.30,0.79
07043,Porreres,2021-02-13,19,105,0.82,16219.46,2522.32,0.84
07044,sa Pobla,2021-02-13,30,219,0.86,53498.90,7362.83,0.86
07045,Puigpunyent,2021-02-13,18,64,0.72,14883.01,2771.91,0.81
07046,Sant Antoni de Portmany,2021-02-13,329,588,0.44,173535.47,119110.25,0.31
07047,Sencelles,2021-02-13,9,50,0.82,7159.68,555.90,0.92
07048,Sant Josep de sa Talaia,2021-02-13,388,754,0.49,235354.70,121178.59,0.49
07049,Sant Joan,2021-02-13,12,66,0.82,11987.23,2361.75,0.80
07050,Sant Joan de Labritja,2021-02-13,75,104,0.28,37876.44,26092.66,0.31
07051,Sant Llorenç des Cardassar,2021-02-13,100,420,0.76,66201.98,8851.40,0.87
07052,Sant Lluís,2021-02-13,53,480,0.89,73195.02,3707.84,0.95
07053,Santa Eugènia,2021-02-13,12,40,0.70,6485.55,1469.41,0.77
07054,Santa Eulària des Riu,2021-02-13,537,1167,0.54,341020.94,186687.23,0.45
07055,Santa Margalida,2021-02-13,84,421,0.80,78518.68,6185.20,0.92
07056,Santa María del Camí,2021-02-13,1,135,0.99,17950.60,69.79,1.00
07057,Santanyí,2021-02-13,205,782,0.74,133257.00,24392.19,0.82
07058,Selva,2021-02-13,23,125,0.82,14708.72,1801.13,0.88
07059,ses Salines,2021-02-13,21,179,0.88,34436.62,1729.08,0.95
07060,Sineu,2021-02-13,46,176,0.74,19955.12,4593.12,0.77
07061,Sóller,2021-02-13,44,323,0.86,46385.06,3307.91,0.93
07062,Son Servera,2021-02-13,79,295,0.73,49978.18,7220.63,0.86
07063,Valldemossa,2021-02-13,35,123,0.72,20723.15,10008.79,0.52
07064,es Castell,2021-02-13,4,203,0.98,30374.01,174.44,0.99
07065,Vilafranca de Bonany,2021-02-13,10,63,0.84,16505.26,948.39,0.94
07901,Ariany,2021-02-13,6,49,0.88,8469.51,377.66,0.96
07902,es Migjorn Gran,2021-02-13,19,73,0.74,10316.88,2495.97,0.76
