id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
33001;ES-O;ES-AS;Allande;2020-04-01;388;399;0.03;41085.79;42598.46;0.04
33002;ES-O;ES-AS;Aller;2020-04-01;236;328;0.28;23601.41;34713.65;0.32
33003;ES-O;ES-AS;Amieva;2020-04-01;69;69;0.00;8662.98;8662.98;0.00
33004;ES-O;ES-AS;Avilés;2020-04-01;289;999;0.71;33030.89;114229.66;0.71
33005;ES-O;ES-AS;Belmonte de Miranda;2020-04-01;119;151;0.21;13815.24;15788.91;0.13
33006;ES-O;ES-AS;Bimenes;2020-04-01;44;44;0.00;5518.22;5518.22;0.00
33007;ES-O;ES-AS;Boal;2020-04-01;47;54;0.13;11573.35;13594.30;0.15
33008;ES-O;ES-AS;Cabrales;2020-04-01;33;58;0.43;2986.81;4764.85;0.37
33009;ES-O;ES-AS;Cabranes;2020-04-01;78;78;0.00;7787.08;7787.08;0.00
33010;ES-O;ES-AS;Candamo;2020-04-01;22;22;0.00;3605.52;3605.52;0.00
33011;ES-O;ES-AS;Cangas del Narcea;2020-04-01;1250;1333;0.06;135481.51;145164.92;0.07
33012;ES-O;ES-AS;Cangas de Onís;2020-04-01;145;196;0.26;18116.60;23879.04;0.24
33013;ES-O;ES-AS;Caravia;2020-04-01;11;46;0.76;1997.64;6213.16;0.68
33014;ES-O;ES-AS;Carreño;2020-04-01;108;267;0.60;12455.14;30495.10;0.59
33015;ES-O;ES-AS;Caso;2020-04-01;198;225;0.12;21923.51;25334.64;0.13
33016;ES-O;ES-AS;Castrillón;2020-04-01;217;422;0.49;47838.26;85224.94;0.44
33017;ES-O;ES-AS;Castropol;2020-04-01;209;277;0.25;37139.00;48177.01;0.23
33018;ES-O;ES-AS;Coaña;2020-04-01;118;124;0.05;24134.77;24856.83;0.03
33019;ES-O;ES-AS;Colunga;2020-04-01;221;282;0.22;29478.47;42691.22;0.31
33020;ES-O;ES-AS;Corvera de Asturias;2020-04-01;117;297;0.61;15916.34;39263.66;0.59
33021;ES-O;ES-AS;Cudillero;2020-04-01;276;287;0.04;59821.50;61226.13;0.02
33022;ES-O;ES-AS;Degaña;2020-04-01;72;72;0.00;8807.45;8807.45;0.00
33023;ES-O;ES-AS;El Franco;2020-04-01;56;80;0.30;11254.40;18658.94;0.40
33024;ES-O;ES-AS;Gijón/Xixón;2020-04-01;201;3326;0.94;16132.82;385108.07;0.96
33025;ES-O;ES-AS;Gozón;2020-04-01;105;255;0.59;22683.67;41061.41;0.45
33026;ES-O;ES-AS;Grau/Grado;2020-04-01;156;296;0.47;29040.91;42393.60;0.31
33027;ES-O;ES-AS;Grandas de Salime;2020-04-01;153;176;0.13;20680.31;23567.03;0.12
33028;ES-O;ES-AS;Ibias;2020-04-01;339;339;0.00;39025.09;39025.09;0.00
33029;ES-O;ES-AS;Illano;2020-04-01;43;43;0.00;17787.40;17787.40;0.00
33030;ES-O;ES-AS;Illas;2020-04-01;6;11;0.45;1604.35;2339.57;0.31
33031;ES-O;ES-AS;Llangréu/Langreo;2020-04-01;195;832;0.77;24665.66;96085.51;0.74
33032;ES-O;ES-AS;Laviana;2020-04-01;235;304;0.23;25120.40;35730.72;0.30
33033;ES-O;ES-AS;Lena;2020-04-01;572;701;0.18;48428.26;60133.27;0.19
33034;ES-O;ES-AS;Valdés;2020-04-01;421;536;0.21;122126.38;137306.77;0.11
33035;ES-O;ES-AS;Llanera;2020-04-01;145;348;0.58;24269.61;52256.56;0.54
33036;ES-O;ES-AS;Llanes;2020-04-01;492;679;0.28;56692.23;79697.74;0.29
33037;ES-O;ES-AS;Mieres;2020-04-01;338;591;0.43;46779.74;75817.63;0.38
33038;ES-O;ES-AS;Morcín;2020-04-01;82;84;0.02;9276.07;9869.11;0.06
33039;ES-O;ES-AS;Muros de Nalón;2020-04-01;47;108;0.56;6645.09;15673.79;0.58
33040;ES-O;ES-AS;Nava;2020-04-01;99;154;0.36;21138.47;27918.87;0.24
33041;ES-O;ES-AS;Navia;2020-04-01;219;298;0.27;53255.75;61818.17;0.14
33042;ES-O;ES-AS;Noreña;2020-04-01;46;211;0.78;1877.57;19390.93;0.90
33043;ES-O;ES-AS;Onís;2020-04-01;63;63;0.00;7081.41;7081.41;0.00
33044;ES-O;ES-AS;Oviedo;2020-04-01;827;2730;0.70;89849.58;276684.15;0.68
33045;ES-O;ES-AS;Parres;2020-04-01;72;106;0.32;10525.18;16326.23;0.36
33046;ES-O;ES-AS;Peñamellera Alta;2020-04-01;63;64;0.02;8878.74;9070.86;0.02
33047;ES-O;ES-AS;Peñamellera Baja;2020-04-01;72;72;0.00;11475.80;11475.80;0.00
33048;ES-O;ES-AS;Pesoz;2020-04-01;57;57;0.00;5723.40;5723.40;0.00
33049;ES-O;ES-AS;Piloña;2020-04-01;146;193;0.24;26179.43;32433.86;0.19
33050;ES-O;ES-AS;Ponga;2020-04-01;86;134;0.36;8278.80;12968.79;0.36
33051;ES-O;ES-AS;Pravia;2020-04-01;49;140;0.65;13508.29;21224.63;0.36
33052;ES-O;ES-AS;Proaza;2020-04-01;158;163;0.03;16149.24;16815.39;0.04
33053;ES-O;ES-AS;Quirós;2020-04-01;324;324;0.00;28885.45;28885.45;0.00
33054;ES-O;ES-AS;Las Regueras;2020-04-01;32;32;0.00;6010.99;6010.99;0.00
33055;ES-O;ES-AS;Ribadedeva;2020-04-01;76;79;0.04;9748.64;10262.07;0.05
33056;ES-O;ES-AS;Ribadesella;2020-04-01;140;315;0.56;22923.44;43386.33;0.47
33057;ES-O;ES-AS;Ribera de Arriba;2020-04-01;41;41;0.00;6622.96;6622.96;0.00
33058;ES-O;ES-AS;Riosa;2020-04-01;59;78;0.24;5802.30;8080.86;0.28
33059;ES-O;ES-AS;Salas;2020-04-01;155;201;0.23;27300.41;36309.34;0.25
33060;ES-O;ES-AS;Samartín del Rei Aurelio;2020-04-01;181;390;0.54;23850.81;45265.39;0.47
33061;ES-O;ES-AS;San Martín de Oscos;2020-04-01;93;93;0.00;12379.75;12379.75;0.00
33062;ES-O;ES-AS;Santa Eulalia de Oscos;2020-04-01;93;96;0.03;10981.05;11505.61;0.05
33063;ES-O;ES-AS;San Tirso de Abres;2020-04-01;89;92;0.03;9421.84;9818.82;0.04
33064;ES-O;ES-AS;Santo Adriano;2020-04-01;40;49;0.18;3607.35;4657.65;0.23
33065;ES-O;ES-AS;Sariego;2020-04-01;37;50;0.26;7113.38;8719.68;0.18
33066;ES-O;ES-AS;Siero;2020-04-01;334;813;0.59;46614.57;98212.54;0.53
33067;ES-O;ES-AS;Sobrescobio;2020-04-01;180;180;0.00;13010.09;13010.09;0.00
33068;ES-O;ES-AS;Somiedo;2020-04-01;382;401;0.05;34348.75;35866.20;0.04
33069;ES-O;ES-AS;Soto del Barco;2020-04-01;81;131;0.38;15637.90;25412.31;0.38
33070;ES-O;ES-AS;Tapia de Casariego;2020-04-01;131;202;0.35;30209.78;42882.35;0.30
33071;ES-O;ES-AS;Taramundi;2020-04-01;152;174;0.13;14872.78;16649.41;0.11
33072;ES-O;ES-AS;Teverga;2020-04-01;321;328;0.02;30245.56;30928.65;0.02
33073;ES-O;ES-AS;Tineo;2020-04-01;451;468;0.04;90866.24;94583.64;0.04
33074;ES-O;ES-AS;Vegadeo;2020-04-01;209;247;0.15;30585.08;35512.66;0.14
33075;ES-O;ES-AS;Villanueva de Oscos;2020-04-01;59;59;0.00;7132.12;7132.12;0.00
33076;ES-O;ES-AS;Villaviciosa;2020-04-01;148;262;0.44;28988.69;46670.00;0.38
33077;ES-O;ES-AS;Villayón;2020-04-01;60;60;0.00;19204.96;19204.96;0.00
33078;ES-O;ES-AS;Yernes y Tameza;2020-04-01;41;41;0.00;3433.42;3433.42;0.00
